City,Country,Latitude,Longitude,Max Temp(F),Humidity(%),Cloudiness(%),Wind Speed(MPH),Date
Srednekolymsk,RU,67.45,153.68,-9.78,88.0,0.0,3.02,1584311939.0
Severnoye,RU,56.35,78.36,33.04,86.0,100.0,21.41,1584312154.0
Port Alfred,ZA,-33.59,26.89,63.0,97.0,100.0,3.0,1584312155.0
Cape Town,ZA,-33.93,18.42,64.99,63.0,20.0,20.8,1584312155.0
Bud,NO,39.45,-86.18,46.0,83.0,90.0,9.17,1584312155.0
Nikolskoye,RU,59.7,30.79,34.0,55.0,82.0,11.18,1584312155.0
Taga,WS,46.95,24.05,26.6,63.0,0.0,4.7,1584312155.0
Moerai,PF,-22.43,-151.33,80.92,70.0,78.0,7.65,1584312155.0
Constitucion,CL,-35.33,-72.42,53.1,86.0,0.0,7.0,1584312155.0
Deputatskiy,RU,69.3,139.9,-21.37,78.0,1.0,3.18,1584311963.0
Campechuela,CU,20.23,-77.28,74.05,75.0,30.0,4.12,1584312156.0
Taoudenni,ML,22.68,-3.98,73.33,10.0,0.0,9.35,1584312156.0
Provideniya,RU,64.38,-173.3,28.4,92.0,75.0,4.47,1584312156.0
Kloulklubed,PW,7.04,134.26,82.02,75.0,93.0,12.93,1584312156.0
Punta Arenas,CL,-53.15,-70.92,59.0,72.0,40.0,19.46,1584311918.0
Hami,CN,42.8,93.45,34.63,30.0,0.0,2.71,1584311924.0
Zheleznodorozhnyy,RU,55.75,38.0,28.0,73.0,9.0,8.95,1584312157.0
Vaini,TO,-21.2,-175.2,82.4,83.0,90.0,11.41,1584311915.0
Ilulissat,GL,69.22,-51.1,-11.2,38.0,0.0,3.36,1584312157.0
Kirensk,RU,57.79,108.11,27.64,90.0,84.0,10.71,1584312157.0
Carbondale,US,37.73,-89.22,42.8,78.0,90.0,9.17,1584311703.0
Atuona,PF,-9.8,-139.03,82.42,65.0,5.0,9.31,1584312157.0
Talnakh,RU,69.49,88.4,-14.8,75.0,40.0,8.95,1584311924.0
Castro,CL,-24.79,-50.01,67.95,78.0,7.0,3.47,1584312158.0
Kruisfontein,ZA,-34.0,24.73,59.45,91.0,100.0,6.6,1584311918.0
Hermanus,ZA,-34.42,19.23,63.0,79.0,24.0,5.01,1584312158.0
Coihueco,CL,-36.62,-71.83,82.4,24.0,0.0,8.05,1584312158.0
Hobart,AU,-42.88,147.33,57.0,66.0,75.0,4.7,1584312009.0
Khatanga,RU,71.97,102.5,-26.88,90.0,89.0,10.8,1584312159.0
Kitami,JP,43.8,143.89,29.14,64.0,92.0,3.33,1584312159.0
Ulladulla,AU,-35.35,150.47,64.0,100.0,75.0,11.41,1584312159.0
Coahuayana,MX,18.73,-103.68,82.4,69.0,75.0,17.22,1584312159.0
Saskylakh,RU,71.92,114.08,-8.37,96.0,100.0,20.74,1584312159.0
Dikson,RU,73.51,80.55,-13.11,100.0,100.0,7.56,1584311915.0
Namibe,AO,-15.2,12.15,75.31,76.0,79.0,3.76,1584312159.0
Rikitea,PF,-23.12,-134.97,79.11,81.0,92.0,12.15,1584312160.0
Guerrero Negro,MX,27.98,-114.06,63.68,62.0,0.0,16.82,1584311953.0
Kahului,US,20.89,-156.47,82.4,61.0,40.0,8.05,1584312160.0
Traverse City,US,44.76,-85.62,41.0,82.0,1.0,8.05,1584312055.0
Qaanaaq,GL,77.48,-69.36,-3.8,61.0,100.0,7.52,1584312160.0
Ushuaia,AR,-54.8,-68.3,55.4,71.0,75.0,18.34,1584312160.0
Mehamn,NO,71.04,27.85,26.6,67.0,20.0,10.29,1584312161.0
Thompson,CA,55.74,-97.86,19.4,52.0,90.0,14.99,1584312161.0
Chokurdakh,RU,70.63,147.92,-15.27,84.0,0.0,6.06,1584311923.0
Tuktoyaktuk,CA,69.45,-133.04,-2.2,70.0,20.0,18.34,1584312161.0
Fortuna,US,40.6,-124.16,48.2,81.0,75.0,14.99,1584311950.0
Kapaa,US,22.08,-159.32,80.6,69.0,75.0,11.41,1584312214.0
Casper,US,42.87,-106.31,55.99,40.0,1.0,24.16,1584312053.0
Severo-Kurilsk,RU,50.68,156.12,28.85,97.0,100.0,34.9,1584311943.0
Acapulco,MX,16.86,-99.89,86.0,70.0,5.0,10.29,1584312215.0
Breyten,ZA,-26.3,29.99,60.19,91.0,60.0,7.36,1584312215.0
Joao Pinheiro,BR,-17.74,-46.17,68.85,84.0,58.0,2.89,1584312215.0
Albany,AU,42.6,-73.97,44.6,23.0,1.0,9.17,1584312003.0
Reo,BF,12.32,-2.47,89.74,14.0,100.0,5.59,1584312215.0
Bethel,US,41.37,-73.41,52.0,20.0,1.0,11.41,1584312216.0
Ahipara,NZ,-35.17,173.17,67.23,67.0,100.0,6.78,1584312216.0
Praia,CV,14.92,-23.51,71.6,78.0,20.0,19.46,1584312216.0
Busselton,AU,-33.65,115.33,59.0,75.0,35.0,7.43,1584312216.0
Hithadhoo,MV,-0.6,73.08,82.99,62.0,84.0,5.88,1584312216.0
Belinskiy,RU,52.96,43.42,27.88,89.0,100.0,13.47,1584312216.0
Wuan,CN,31.68,112.0,57.22,59.0,96.0,3.11,1584312217.0
Saint-Philippe,RE,-21.36,55.77,75.2,69.0,100.0,6.93,1584312217.0
